strategy,iteration,labeled_total,train_time_sec,accuracy,macro_f1
random,0,25,0.9241440296173096,0.8561797752808988,0.8549699058820661
random,1,50,0.5632848739624023,0.7325842696629213,0.6799396010041103
random,2,75,0.6441524028778076,0.849438202247191,0.8405657413839229
random,3,100,0.6194953918457031,0.7640449438202247,0.7355332937907375
random,4,125,0.6723897457122803,0.8247191011235955,0.7977623029383609
random,5,150,0.7170565128326416,0.8539325842696629,0.8295665513055288
random,6,175,0.7333343029022217,0.8764044943820225,0.8615178644773938
random,7,200,0.7742607593536377,0.9191011235955057,0.912935469032788
random,8,225,0.8944005966186523,0.9235955056179775,0.9187237343367924
random,9,250,0.8016054630279541,0.9303370786516854,0.9261642817258082
random,10,275,0.9109334945678711,0.9438202247191011,0.942454863811027
uncertainty_entropy,0,25,0.5474164485931396,0.8561797752808988,0.8549699058820661
uncertainty_entropy,1,50,0.6187481880187988,0.5842696629213483,0.4943353042813854
uncertainty_entropy,2,75,0.6180293560028076,0.1752808988764045,0.06405535413852752
uncertainty_entropy,3,100,0.6641266345977783,0.34831460674157305,0.23210861299004373
uncertainty_entropy,4,125,0.695624828338623,0.5707865168539326,0.47642504386580214
uncertainty_entropy,5,150,0.7323036193847656,0.8337078651685393,0.8203673327038091
uncertainty_entropy,6,175,0.7808430194854736,0.7191011235955056,0.727818305767455
uncertainty_entropy,7,200,0.8594837188720703,0.8853932584269663,0.8851229145185157
uncertainty_entropy,8,225,0.7762289047241211,0.9370786516853933,0.9408890363385561
uncertainty_entropy,9,250,0.866736888885498,0.9685393258426966,0.9683385311486301
uncertainty_entropy,10,275,0.7987589836120605,0.952808988764045,0.952551034921371
